persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score,difficulte_type,difficulte_date,difficulte_source_url,risque_trop_tard
B,CFA VALOREM,CFA VALOREM,982804031,98280403100010,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/982804031,SAINT-FONS,69,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/982804031,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Driss Souici,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 982804031),,95,CFA identifié | Création 2024 (critère principal) | Hors IDF (69),liquidation judiciaire (entreprise fermée),2024-12-31,https://annuaire-entreprises.data.gouv.fr/entreprise/982804031,élevé - entreprise fermée administrativement
B,L'APPRENTISSAGE (L'APPRENTISSAGE),L'APPRENTISSAGE,911828572,91182857200014,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/911828572,LE CREUSOT,71,Bourgogne-Franche-Comté,https://annuaire-entreprises.data.gouv.fr/entreprise/911828572,,CFA,presentiel,CFA = généralement présentiel,Elie Kouka,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 911828572),,85,CFA identifié | Création 2022 (élargissement) | Hors IDF (71),liquidation judiciaire (entreprise fermée),2025-06-19,https://annuaire-entreprises.data.gouv.fr/entreprise/911828572,élevé - entreprise fermée administrativement
B,TEDDY BEAR APPRENTISSAGE,TEDDY BEAR APPRENTISSAGE,913787206,91378720600014,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/913787206,THIONVILLE,57,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/913787206,,CFA,presentiel,CFA = généralement présentiel,Randy Oppong,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 913787206),,85,CFA identifié | Création 2022 (élargissement) | Hors IDF (57),liquidation judiciaire (entreprise fermée),2025-11-12,https://annuaire-entreprises.data.gouv.fr/entreprise/913787206,élevé - entreprise fermée administrativement
B,JOLIDON JP3A (CENTRE DE FORMATION D'APPRENTIS BEZIERS ET OUEST OCCITANIE) (CFA BO2C),JOLIDON JP3A,885408849,88540884900010,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/885408849,AUTIGNAC,34,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/885408849,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Jean-pierre Jolidon,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 885408849),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",80,CFA identifié | Création 2021 (élargissement étendu) | Hors IDF (34),liquidation judiciaire (entreprise fermée),2022-03-31,https://annuaire-entreprises.data.gouv.fr/entreprise/885408849,élevé - entreprise fermée administrativement
B,WYM FORMATIONS,WYM FORMATIONS,924836430,92483643000018,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/924836430,CHAGNY,71,Bourgogne-Franche-Comté,https://annuaire-entreprises.data.gouv.fr/entreprise/924836430,,OF,inconnu,,Marion Paret,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 924836430),,85,Organisme de formation confirmé | Création 2024 (critère principal) | Hors IDF (71),liquidation judiciaire (entreprise fermée),2024-05-21,https://annuaire-entreprises.data.gouv.fr/entreprise/924836430,élevé - entreprise fermée administrativement
B,JKM FORMATION,JKM FORMATION,982405441,98240544100014,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/982405441,FROUZINS,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/982405441,,OF,inconnu,,Jennifer Gulleres,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 982405441),,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (31),liquidation judiciaire (entreprise fermée),2024-07-22,https://annuaire-entreprises.data.gouv.fr/entreprise/982405441,élevé - entreprise fermée administrativement
B,ZAKIA AHMED,,927794800,92779480000015,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/927794800,MAMOUDZOU,976,Mayotte,https://annuaire-entreprises.data.gouv.fr/entreprise/927794800,,inconnu,inconnu,,Zakia Ahmed,,,,,API recherche-entreprises.api.gouv.fr (SIREN 927794800),,65,Création 2024 (critère principal) | Hors IDF (976) | Dirigeant identifié,liquidation judiciaire (entreprise fermée),2025-07-29,https://annuaire-entreprises.data.gouv.fr/entreprise/927794800,élevé - entreprise fermée administrativement
B,CENTRE DE FORMATION,CENTRE DE FORMATION,949612329,94961232900019,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/949612329,GROISY,74,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/949612329,,OF,presentiel,,Arnaud Gobled,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 949612329),,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (74),liquidation judiciaire (entreprise fermée),2023-12-15,https://annuaire-entreprises.data.gouv.fr/entreprise/949612329,élevé - entreprise fermée administrativement
B,DOMINIQUE AVILA (DESPLANQUE) (JE CREE MON ORGANISME DE FORMATION),,953842259,95384225900012,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/953842259,RESTINCLIERES,34,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/953842259,,OF,inconnu,,Dominique Avila (desplanque),,,,,API recherche-entreprises.api.gouv.fr (SIREN 953842259),,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (34),liquidation judiciaire (entreprise fermée),2024-05-21,https://annuaire-entreprises.data.gouv.fr/entreprise/953842259,élevé - entreprise fermée administrativement
B,COMITE D'EDUCATION AUX LOISIRS ET D'APPRENTISSAGE PAR LES PAIRS (CELAP),COMITE D'EDUCATION AUX LOISIRS ET D'APPRENTISSAGE PAR LES PAIRS,902836568,90283656800011,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/902836568,LORIENT,56,Bretagne,https://annuaire-entreprises.data.gouv.fr/entreprise/902836568,,CFA,presentiel,CFA = généralement présentiel,,,,,,,"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",65,CFA identifié | Création 2021 (élargissement étendu) | Hors IDF (56),liquidation judiciaire (entreprise fermée),2025-03-03,https://annuaire-entreprises.data.gouv.fr/entreprise/902836568,élevé - entreprise fermée administrativement
B,MA FORMATION (MA FORMATION),MA FORMATION,908934847,90893484700017,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/908934847,MARSEILLE 4,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/908934847,,OF,inconnu,,Ilham Houari,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 908934847),,75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (13),liquidation judiciaire (entreprise fermée),2022-12-08,https://annuaire-entreprises.data.gouv.fr/entreprise/908934847,élevé - entreprise fermée administrativement
B,LA FORMATION (LA FORMATION),LA FORMATION,917521221,91752122100015,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,SAINT-DENIS,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,,OF,inconnu,,Yanis Brahmi,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 917521221),,75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (974),liquidation judiciaire (entreprise fermée),2022-12-31,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,élevé - entreprise fermée administrativement
